Kilometers_Driven,Mileage,Engine,Power,Seats,No. of Doors,Price,Age,Fuel_Type_Diesel,Fuel_Type_Petrol,Fuel_Type_CNG,Fuel_Type_LPG,Transmission_Manual,Transmission_Automatic,Owner_Type_First,Owner_Type_Second,Owner_Type_Third,Owner_Type_Fourth & Above,Colour_Others,Colour_Black/Silver,Colour_White
59138,17.0,1405,70.0,5,4,2.58,12.0,1,0,0,0,1,0,1,0,0,0,1,0,0
81504,21.43,1364,87.2,5,4,6.53,12.0,1,0,0,0,1,0,1,0,0,0,1,0,0
92000,13.8,1299,70.0,5,4,1.25,18.0,0,1,0,0,1,0,1,0,0,0,1,0,0
33249,21.27,1396,88.76,5,4,3.25,13.0,1,0,0,0,1,0,1,0,0,0,0,1,0
65000,17.0,1497,118.0,5,4,5.2,14.0,0,1,0,0,1,0,1,0,0,0,0,0,1
75136,22.7,1498,89.84,5,4,6.15,11.0,1,0,0,0,1,0,1,0,0,0,1,0,0
25000,18.9,1197,82.0,5,4,5.0,9.0,0,1,0,0,1,0,1,0,0,0,0,1,0
36411,18.9,998,67.1,5,4,3.08,14.0,0,1,0,0,1,0,1,0,0,0,0,1,0
28000,13.7,1991,183.0,5,4,26.0,9.0,0,1,0,0,0,1,1,0,0,0,1,0,0
78000,14.74,2993,270.9,5,4,24.0,14.0,1,0,0,0,0,1,0,1,0,0,1,0,0
65003,13.6,4134,382.0,5,4,67.83,9.0,1,0,0,0,0,1,1,0,0,0,0,0,1
76000,16.07,1995,181.0,4,4,8.75,13.0,1,0,0,0,0,1,1,0,0,0,0,1,0
71904,24.0,1120,70.0,5,4,4.61,12.0,1,0,0,0,1,0,1,0,0,0,0,0,1
17320,15.8,2148,170.0,5,4,37.99,6.0,1,0,0,0,0,1,1,0,0,0,1,0,0
47304,21.02,1248,88.8,5,4,2.9,12.0,1,0,0,0,1,0,1,0,0,0,1,0,0
32000,20.4,1248,91.7,5,4,4.65,10.0,1,0,0,0,1,0,1,0,0,0,0,0,1
107000,17.8,1248,75.0,5,4,3.1,17.0,1,0,0,0,1,0,0,1,0,0,0,0,1
50000,17.9,2143,201.15,5,4,49.0,9.0,1,0,0,0,0,1,1,0,0,0,1,0,0
76000,18.48,1995,177.0,5,4,19.0,12.0,1,0,0,0,0,1,1,0,0,0,0,0,1
85000,15.3,1596,101.0,5,4,1.46,15.0,0,1,0,0,1,0,1,0,0,0,1,0,0
170000,18.48,1995,177.0,5,4,12.0,15.0,1,0,0,0,0,1,0,0,1,0,0,1,0
45366,25.1,1498,98.6,5,4,10.88,8.0,1,0,0,0,1,0,1,0,0,0,0,1,0
83000,11.1,2354,142.0,5,4,6.5,15.0,0,1,0,0,0,1,0,1,0,0,0,0,1
31006,24.7,796,47.3,5,4,2.61,9.0,0,1,0,0,1,0,1,0,0,0,1,0,0
76000,16.0,2179,140.0,7,5,12.0,10.0,1,0,0,0,1,0,0,1,0,0,1,0,0
48000,17.0,1896,105.0,5,4,5.0,16.0,1,0,0,0,0,1,1,0,0,0,1,0,0
8500,21.4,1197,83.1,5,4,5.49,9.0,0,1,0,0,1,0,1,0,0,0,0,0,1
